Systematic_name	Common_name	GCF_000146045.2_R64_genomic_ID	SGD_ID
YAL068C	PAU8	ID=cds0	SGD:S000002142
YAL067W-A	NA	ID=cds1	SGD:S000028593
YAL067C	SEO1	ID=cds2	SGD:S000000062
YAL065C	NA	ID=cds3	SGD:S000001817
YAL064W-B	NA	ID=cds4	SGD:S000002141
YAL064C-A	TDA8	ID=cds5	SGD:S000002140
YAL064W	NA	ID=cds6	SGD:S000000060
YAL063C-A	NA	ID=cds7	SGD:S000028813
YAL063C	FLO9	ID=cds8	SGD:S000000059
YAL062W	GDH3	ID=cds9	SGD:S000000058
YAL061W	BDH2	ID=cds10	SGD:S000000057
YAL060W	BDH1	ID=cds11	SGD:S000000056
YAL059W	ECM1	ID=cds12	SGD:S000000055
YAL058W	CNE1	ID=cds13	SGD:S000000054
YAL056W	GPB2	ID=cds14	SGD:S000000052
YAL055W	PEX22	ID=cds15	SGD:S000000051
YAL054C	ACS1	ID=cds16	SGD:S000000050
YAL053W	FLC2	ID=cds17	SGD:S000000049
YAL051W	OAF1	ID=cds18	SGD:S000000048
YAL049C	AIM2	ID=cds19	SGD:S000000047
YAL048C	GEM1	ID=cds20	SGD:S000000046
YAL047C	SPC72	ID=cds21	SGD:S000000045
YAL046C	BOL3	ID=cds22	SGD:S000000044
YAL044W-A	BOL1	ID=cds23	SGD:S000007586
YAL044C	GCV3	ID=cds24	SGD:S000000042
YAL043C	PTA1	ID=cds25	SGD:S000000041
YAL042W	ERV46	ID=cds26	SGD:S000000040
YAL041W	CDC24	ID=cds27	SGD:S000000039
YAL040C	CLN3	ID=cds28	SGD:S000000038
YAL039C	CYC3	ID=cds29	SGD:S000000037
YAL038W	CDC19	ID=cds30	SGD:S000000036
YAL037C-A	NA	ID=cds31	SGD:S000028732
YAL037W	NA	ID=cds32	SGD:S000000035
YAL036C	RBG1	ID=cds33	SGD:S000000034
YAL035W	FUN12	ID=cds34	SGD:S000000033
YAL034W-A	MTW1	ID=cds35	SGD:S000000032
YAL034C	FUN19	ID=cds36	SGD:S000002134
YAL033W	POP5	ID=cds37	SGD:S000000031
YAL032C	PRP45	ID=cds38	SGD:S000000030
YAL031C	GIP4	ID=cds39	SGD:S000000029
YAL030W	SNC1	ID=cds40	SGD:S000000028
YAL029C	MYO4	ID=cds41	SGD:S000000027
YAL028W	FRT2	ID=cds42	SGD:S000000026
YAL027W	SAW1	ID=cds43	SGD:S000000025
YAL026C	DRS2	ID=cds44	SGD:S000000024
YAL025C	MAK16	ID=cds45	SGD:S000000023
YAL024C	LTE1	ID=cds46	SGD:S000000022
YAL023C	PMT2	ID=cds47	SGD:S000000021
YAL022C	FUN26	ID=cds48	SGD:S000000020
YAL021C	CCR4	ID=cds49	SGD:S000000019
YAL020C	ATS1	ID=cds50	SGD:S000000018
YAL019W	FUN30	ID=cds51	SGD:S000000017
YAL018C	LDS1	ID=cds52	SGD:S000000016
